Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,147,43.343812575090105,10,19.783250166398076,0.08512765957446808,329,0.973,0.08512765957446808,0.0,0.25040780500898135,0.973,0.0056081297557068486,0.0,0.06765235125805515,329,4994,17,15.179331306990882,1,4.00395680166095,147,47.932,2,26.4527385349797,0.05949230769230769,65,0.919,0.05949230769230769,0.0,0.19796286544368505,0.919,0.0038669999999999998,0.0,0.05255860834344837,132,2000,17,15.384615384615385,2,3.493696775589335,2000,0.0061047738417983055,14.650144149549305,10.626670027151704,2.176939739845693,0.015962730161845684,0.010447908658534288,26040.53300222382,1.8140189698897302,0.00022056147,0.02402832,0.011890974,-0.014344387,0.006123948
1,126,125.98078078078078,102,0.6788901846940084,0.05624147727272726,352,0.973,0.05624147727272726,0.0,0.20883151970079838,0.973,0.003963363363363363,0.0,0.05727527316403751,681,9989,15,14.190340909090908,1,3.008627348168036,146,119.878,0,21.959032674505497,0.11174666666666667,75,0.982,0.11174666666666667,0.0,0.285605933333948,0.982,0.008381,0.0,0.08357101075731942,207,3000,15,13.333333333333334,1,4.132257924616463,3000,0.007106907665729523,16.309991555754095,11.994498999789357,2.3423872948624194,0.017181491944938898,0.008764718193560839,26056.845425826497,1.9400521432980895,0.0065585887,0.18897136,0.03958007,-0.0012637852,0.04870362
2,140,43.51503006012024,1,37.924554291190674,0.09398060941828255,361,0.991,0.09398060941828255,0.0,0.26175852601165606,0.991,0.0067989979959919835,0.0,0.07449581687895585,1042,14979,17,13.822714681440443,1,3.797744533882197,148,42.382,0,38.12678947931493,0.0818611111111111,72,0.946,0.0818611111111111,0.0,0.23915657966856238,0.946,0.005894,0.0,0.06757109414535183,279,4000,17,13.88888888888889,1,3.5416394334464947,4000,0.006123795174062252,15.54559478070587,11.509051145985723,2.233286269940436,0.017559430096298456,0.00971586024388671,26072.393562664744,1.7698582792654634,0.009872375,0.12963358,0.024359208,-0.0027957251,0.025192348
3,107,107.0,107,0.0,0.056038709677419356,310,0.973,0.056038709677419356,0.0,0.2149377819613483,0.973,0.0034841556357801846,0.0,0.055276055286766164,1352,19965,17,16.083870967741934,1,3.521280629781338,145,103.996,1,16.231758499928464,0.078015625,64,0.973,0.078015625,0.0,0.23935854983864557,0.973,0.004992999999999999,0.0,0.06349269998196641,343,5000,17,15.625,1,3.990222424878092,5000,0.006222298834472895,14.733230469748378,10.781335517764091,2.1238698991946876,0.017718353774398565,0.009133015293627977,26087.129227169324,1.7949513848870993,0.008694698,0.23014353,0.056281455,0.0002224303,0.058931995
4,126,47.01584118708642,47,1.1185717842942597,0.016114093959731544,298,0.982,0.016114093959731544,0.0,0.12341741962052938,0.982,0.0009629035492279929,0.0,0.030410104257924925,1650,24952,17,16.73489932885906,1,2.0300238427037893,145,49.13,6,13.272117389474824,0.06193650793650793,63,0.973,0.06193650793650793,0.0,0.2190840146897244,0.973,0.003902,0.0,0.05701151108328915,406,6000,17,15.873015873015873,1,3.6752802009239525,6000,0.006149373948574066,15.314579896163195,10.94278973294422,2.2298651901073754,0.01636403100565076,0.008392416406422853,26102.446412379853,2.111019151750952,0.004930187,0.23058133,0.053330265,-0.0017664919,0.04515396
5,144,84.16302823953535,5,38.46146717485883,0.06338840579710145,345,0.991,0.06338840579710145,0.0,0.2238038993691147,0.991,0.004379931904666533,0.0,0.06098674602158892,1995,29945,17,14.472463768115942,1,3.39137371414256,148,80.392,0,41.62518872029291,0.11497260273972604,73,0.883,0.11497260273972604,0.0,0.25737377396184474,0.883,0.008393000000000001,0.0,0.0756976522159043,479,7000,17,13.698630136986301,2,3.7769485817560113,7000,0.006159366108477116,15.085324051324278,11.003202154766768,2.259417791850865,0.016248871106654406,0.007992102764546871,26117.534276638646,1.7923037647269666,0.001892141,0.096229725,0.044178803,0.010112871,0.018789543
6,133,74.37459871589085,1,37.008034636386185,0.08417464788732394,355,0.982,0.08417464788732394,0.0,0.2516195158681478,0.982,0.005995585874799357,0.0,0.07055734593639226,2350,34929,17,14.03943661971831,1,3.711211748250043,148,72.641,1,38.163780197983534,0.0649142857142857,70,0.973,0.0649142857142857,0.0,0.20076971476631358,0.973,0.004544,0.0,0.05564095671355768,549,8000,17,14.285714285714286,1,2.8492748809019415,8000,0.006109941750764847,14.988807050976902,11.055043725296855,2.2362907910719514,0.016076228115707636,0.007981852628290653,26132.525533784647,1.6673045121133327,0.0030903057,0.13626929,0.048361257,0.0010614218,0.022371028
7,144,72.41621621621621,0,44.01503448320648,0.10039118457300274,363,0.991,0.10039118457300274,0.0,0.25362140963731844,0.991,0.007295695695695694,0.0,0.07316953076057832,2713,39924,17,13.760330578512397,1,3.6470104592894828,145,73.79,1,43.29773550660588,0.11220270270270272,74,0.973,0.11220270270270272,0.0,0.2629311892168095,0.973,0.008303000000000001,0.0,0.07732080697328501,623,9000,17,13.513513513513514,1,3.953251290182664,9000,0.0062849330715835094,15.407494810409844,11.551792874000967,2.3363169822841883,0.01620865985751152,0.008528711274266243,26147.935439331923,1.4883626499213278,0.0027056716,0.13940403,0.05950688,0.008995472,0.02352047
8,142,95.52915247445402,0,35.30813926164347,0.13008130081300814,369,0.973,0.13008130081300814,0.0,0.2886627873008428,0.973,0.009617311160088158,0.0,0.08555175391269733,3082,44915,17,13.525745257452575,1,4.273192868350291,148,93.246,0,35.744642731463976,0.11000000000000001,74,0.892,0.11000000000000001,0.0,0.24798822988634395,0.892,0.008140000000000001,0.0,0.07334851327736643,697,10000,17,13.513513513513514,2,3.7605464066867214,10000,0.006139908917248249,14.786339026875794,10.851365223061293,2.253567702136934,0.015900202095508575,0.007976609747856855,26162.72423339868,1.651389380916953,0.0046283654,0.18027036,0.06858994,0.010498669,0.02943734
9,146,114.61241241241241,5,38.72448207010242,0.0723219814241486,323,0.982,0.0723219814241486,0.0,0.23168609671612544,0.982,0.004676676676676677,0.0,0.06154229456712801,3405,49910,17,15.464396284829721,1,3.7722879693990596,148,110.389,0,40.36185921138917,0.047328125,64,0.901,0.047328125,0.0,0.17510613341337983,0.901,0.003029,0.0,0.04578820982523777,761,11000,17,15.625,2,3.0078023538789913,11000,0.006100045051425695,15.24786720611155,10.88877301197499,2.2346904617734253,0.016495201271027327,0.00902379211038351,26177.97462483542,2.092784693930298,0.0057904627,0.19531424,0.07290034,0.011037378,0.02990802
10,143,76.14563301282051,0,25.173847165057616,0.08372804532577904,353,0.982,0.08372804532577904,0.0,0.25374221205119285,0.982,0.005920673076923077,0.0,0.07080639370799491,3758,54902,17,14.141643059490084,1,3.7774183095148546,148,78.231,0,25.485675172535654,0.05974285714285713,70,0.892,0.05974285714285713,0.0,0.20158703797008135,0.892,0.004182,0.0,0.055470432448287255,831,12000,17,14.285714285714286,2,3.2343816240196395,12000,0.006207763683050871,15.119916251860559,11.137581553310156,2.220271475147456,0.01606237981468439,0.008867709897458553,26193.09707842907,1.7309253700077534,0.0026957416,0.1986322,0.083649,0.024890767,0.03295627
11,145,58.98498799039231,1,36.31792902127779,0.07520771513353115,337,0.973,0.07520771513353115,0.0,0.2280082476769776,0.973,0.0050730584467574055,0.0,0.06214963981324847,4095,59898,17,14.82492581602374,1,3.593874868049392,147,62.175,0,37.79950231153844,0.0807205882352941,68,0.892,0.0807205882352941,0.0,0.2316474784710745,0.892,0.005488999999999999,0.0,0.06373275358087079,899,13000,17,14.705882352941176,2,3.634227903798468,13000,0.006178223993629217,14.764604178257287,10.681310158688575,2.156940540764481,0.015684100799262524,0.0074473717249929905,26207.864167869557,1.897043782286346,0.004452682,0.22118768,0.08805251,0.00024363725,0.029802628
12,146,64.9754,0,43.24562399642304,0.1693044619422572,381,0.982,0.1693044619422572,0.0,0.3163095210030895,0.982,0.012901,0.0,0.09819216668859078,4476,64898,17,13.123359580052494,1,4.712523689794055,148,63.547,0,41.723587944950275,0.12643835616438354,73,0.982,0.12643835616438354,0.0,0.2813346852134431,0.982,0.00923,0.0,0.08282345742602151,972,14000,17,13.698630136986301,1,4.150210199353497,14000,0.006161794997751713,15.30935262562707,11.098933551926166,2.2694660830311477,0.016852888744324446,0.00822691386565566,26223.175967200194,1.9097113930620253,0.0036674726,0.24163395,0.09728592,0.0065017687,0.03357357
13,146,26.781920224493888,0,39.05547685588051,0.081438202247191,356,0.991,0.081438202247191,0.0,0.2393012160933044,0.991,0.005811184606133493,0.0,0.06727366102129163,4832,69887,17,14.014044943820224,1,3.4879124238764567,146,25.872,0,40.57828995904091,0.04766666666666666,69,0.955,0.04766666666666666,0.0,0.19410998426237164,0.955,0.003289,0.0,0.05240026220354245,1041,15000,17,14.492753623188406,1,2.8570948476177636,15000,0.006205389276146889,14.943547567818314,10.891138963866979,2.068670812062919,0.01724242279306054,0.009489900898188353,26238.122049164027,1.95080007892102,0.006842565,0.25322735,0.11101512,0.047620732,0.035701435
14,145,70.71591591591591,1,38.39670668196633,0.10890607734806627,362,0.991,0.10890607734806627,0.0,0.26773652633162814,0.991,0.007892692692692693,0.0,0.07740995283201063,5194,74882,17,13.798342541436464,1,3.9458625808528556,147,71.409,0,38.02788081132053,0.11294594594594595,74,0.964,0.11294594594594595,0.0,0.26186425676302433,0.964,0.008358,0.0,0.07712677768453705,1115,16000,17,13.513513513513514,1,4.077768478387523,16000,0.006039750296622515,15.606948052532971,11.227191634941846,2.3239394328556955,0.016311540734022856,0.00800504395738244,26253.73163377773,2.0254606497474015,0.004048746,0.2768436,0.114457004,0.0347858,0.036822926
