,codebook_dl,train_node_cost,test_node_cost,2,3,4,5,6
code_book1.npy,2014,406.9,615.02,0.0029943057687677964,0.45675707119374875,0.27479521377859856,0.21002177225157753,0.055431637007307334
code_book2.npy,2249,426.74,650.02,0.2236633281421387,0.20174007827365187,0.22816274990403596,0.28871318393136913,0.057720659748804345
code_book17.npy,2313,430.78,658.44,0.5028069802449001,0.06609563316889133,0.1102635712643393,0.2754946646411563,0.04533915068071303
code_book6.npy,2355,430.9,652.89,0.2705456413206864,0.19109377099853084,0.3031718720192398,0.13798253351251286,0.09720618214903003
code_book14.npy,2513,440.12,661.43,0.26669081934627153,0.25736294395551973,0.14460937566674179,0.1590951975182434,0.17224166351322337
code_book11.npy,2516,439.38,663.56,0.07304203271261164,0.38840772942865603,0.23217216206510713,0.11802308781677728,0.188354987976848
code_book13.npy,2599,444.38,670.8,0.12559214434719942,0.3456354240221313,0.10146237873884344,0.27023517376140166,0.15707487913042426
code_book16.npy,2604,445.32,681.59,0.23123851665681183,0.18713021757495088,0.2567329747875198,0.20655420278467432,0.11834408819604302
code_book19.npy,2607,443.24,664.63,0.22469905822785133,0.31072041243612536,0.1970921229997721,0.16489026393158968,0.10259814240466146
code_book18.npy,2639,444.08,681.59,0.14380393757828858,0.26264276764693867,0.14654151777102076,0.24630340753147464,0.2007083694722774
code_book7.npy,2661,453.8,674.92,0.2016272037738663,0.1414663298718374,0.22671450650597708,0.2598842884751467,0.17030767137317251
code_book20.npy,2662,450.18,678.29,0.17879140259681248,0.1003396364296748,0.1658816563969293,0.2716768823968597,0.2833104221797237
code_book10.npy,2673,447.28,683.66,0.15390684634579613,0.2733499355230879,0.28569896429025815,0.14334165724770176,0.14370259659315604
code_book4.npy,2686,444.28,675.04,0.17252157339481272,0.23827662583832623,0.16438228319260448,0.17317490607506508,0.25164461149919154
code_book15.npy,2698,444.5,672.86,0.3022317409442069,0.07048313079539321,0.2782035137299235,0.10005551477569882,0.24902609975477757
code_book3.npy,2757,457.26,701.39,0.14825859893414514,0.07927147161991153,0.24901636020876805,0.23149624954664955,0.2919573196905258
code_book12.npy,2798,454.72,681.99,0.1433200528485119,0.20815955171121042,0.11428148422666953,0.0959141736785238,0.43832473753508433
code_book8.npy,2828,448.86,687.32,0.38425750571224904,0.056846481732402636,0.03943073428816727,0.3513021712267043,0.1681631070404768
code_book5.npy,2831,447.74,687.87,0.1760915650633455,0.1628113282342334,0.29107998014875186,0.07162069143172231,0.29839643512194686
code_book9.npy,3101,474.04,720.57,0.1851747897620093,0.10798398416973456,0.13368449444060404,0.20069220772664423,0.37246452390100787
