Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,8,4.001603206412826,2,0.21186601730413518,0.12778646934460888,473,0.991,0.12778646934460888,0.0,0.28808766369521893,0.991,0.012112825651302605,0.0,0.09627122411716649,473,4990,12,10.54968287526427,1,3.277536605385715,14,4.216,0,1.4884031711871617,0.1372142857142857,98,0.973,0.1372142857142857,0.0,0.2917814128027055,0.973,0.013446999999999999,0.0,0.10003831861341933,190,2000,12,10.204081632653061,1,3.3895372740407534,2000,0.005245123989880085,21.73116649221629,15.714431279338896,3.5455249547958374,0.02063477924093604,0.015186757780611515,43.49321101652458,2.4301435970701277,0.011389416,0.018543104,0.010312131,-0.012036268,0.0045591053
1,14,12.847077662129704,4,3.1021818600152224,0.11158302583025831,542,0.991,0.11158302583025831,0.0,0.2663026250812442,0.991,0.012105284227381904,0.0,0.0943280103836269,1015,9986,12,9.217712177121772,1,2.501036671814941,14,12.613,0,3.420413863847473,0.13930555555555554,108,0.9369999999999999,0.13930555555555554,0.0,0.28265013900624014,0.9369999999999999,0.015044999999999998,0.0,0.10245847439328773,298,3000,11,9.25925925925926,1,2.8750857326037553,3000,0.005403605755418539,23.73210314102471,17.922937241848558,3.322759934235364,0.0193096362054348,0.00771346315741539,67.22818742087111,2.4539792598225176,0.009075269,0.13050683,0.026895974,-0.0099748075,0.030501131
2,14,4.7598,2,4.016528844661768,0.11559420289855073,483,0.991,0.11559420289855073,0.0,0.27175250760724223,0.991,0.0111664,0.0,0.0911039906427814,1498,14986,12,10.351966873706004,1,2.9907260491693455,14,4.588,0,3.8047675356058215,0.1352929292929293,99,0.991,0.1352929292929293,0.0,0.28575645675341743,0.991,0.013393999999999998,0.0,0.09857348915403166,397,4000,12,10.1010101010101,1,3.141430380938245,4000,0.005354483146220446,22.27668913640082,16.642786329146475,3.036535907071084,0.017625968903303146,0.007568147033452988,89.50779173662886,2.566818301100284,0.005931139,0.07913933,0.021873884,-0.01600464,0.019401914
3,14,8.438476953907816,0,4.907819870036327,0.11320079522862822,503,0.991,0.11320079522862822,0.0,0.2742180450335674,0.991,0.011410821643286573,0.0,0.09349512200539586,2001,19976,12,9.920477137176938,1,2.8981447021648243,14,8.861,0,4.874390115696527,0.1377307692307692,104,0.991,0.1377307692307692,0.0,0.2778084644128186,0.991,0.014324,0.0,0.09896536274879204,501,5000,12,9.615384615384615,1,2.8966415975019584,5000,0.005340841133147478,22.90547691192478,16.95439109299332,3.372816741000861,0.017826898023486137,0.007593692746013403,112.41584584489465,2.5475076460279524,0.0068847165,0.10799301,0.02185662,-0.0150965415,0.023642795
4,14,9.511721097976357,0,5.162847261781133,0.13549619771863114,526,0.991,0.13549619771863114,0.0,0.29052524707340593,0.991,0.0142799038268884,0.0,0.10308426773338498,2527,24967,12,9.488593155893536,1,2.9839340273110584,14,9.399,0,5.000979803998412,0.10067326732673267,101,0.973,0.10067326732673267,0.0,0.24912778974252925,0.973,0.010168,0.0,0.08478671933740567,602,6000,12,9.900990099009901,1,2.59284984270834,6000,0.005392373073846102,23.17632387438789,17.140218414831907,3.428305230103433,0.01805301196873188,0.007709306664764881,135.5947104417719,2.5766455377452075,0.00991345,0.15307438,0.034386538,-0.020298038,0.03063024
5,14,8.7828,0,4.736752490895001,0.11100590551181101,508,0.982,0.11100590551181101,0.0,0.26771009477980967,0.982,0.011278199999999999,0.0,0.09168581354146342,3035,29967,12,9.84251968503937,1,2.771267644932319,14,8.982,0,4.681204545840739,0.12061764705882354,102,0.955,0.12061764705882354,0.0,0.27380274294010004,0.955,0.012303000000000001,0.0,0.09475930134292887,704,7000,12,9.803921568627452,1,2.838942138268541,7000,0.0053672390058636665,23.105987457558513,17.00175331532955,3.5298616918735206,0.01853280933573842,0.008033283054828644,158.70334357209504,2.5424391189590096,0.004345716,0.18468009,0.03416723,-0.012921425,0.03262783
6,14,7.5079047428457075,0,4.836467968050147,0.12456666666666666,510,0.991,0.12456666666666666,0.0,0.28507777140919627,0.991,0.0127134280568341,0.0,0.09857224263455855,3545,34964,12,9.798039215686275,1,2.980392801857515,14,7.148,0,4.555885863364007,0.0851530612244898,98,0.991,0.0851530612244898,0.0,0.25691622362166355,0.991,0.008345,0.0,0.08431812364491989,802,8000,12,10.204081632653061,1,2.7477604375031563,8000,0.005644585937261581,23.288524043746293,16.96880075894296,3.612896773032844,0.018306753132492304,0.008034955710172653,181.99445257754996,2.6748402169905603,0.0145504875,0.1867021,0.04550722,-0.0040086377,0.038527194
7,14,9.312024048096193,0,4.644499808198894,0.13213740458015266,524,0.991,0.13213740458015266,0.0,0.29242692082081756,0.991,0.01387575150300601,0.0,0.10305699433492649,4069,39954,12,9.522900763358779,1,3.050067322132645,14,9.468,0,4.64273367747925,0.14471698113207548,106,0.982,0.14471698113207548,0.0,0.2984061040246803,0.982,0.01534,0.0,0.10688096369326017,908,9000,12,9.433962264150944,1,3.1051353324031252,9000,0.005395568907260895,23.316416236571968,17.272886250168085,3.436684526037425,0.017903798725456,0.007627561688423157,205.3134758854285,2.5759185310453176,0.00917397,0.21993291,0.04835996,0.00060400506,0.03947299
8,14,9.751751751751751,0,4.201772164665546,0.13892870905587665,519,0.991,0.13892870905587665,0.0,0.30135291712444473,0.991,0.014435235235235235,0.0,0.10598574497477278,4588,44949,12,9.624277456647398,1,3.1949303845215176,14,9.144,0,4.458841105040635,0.10861000000000001,100,0.919,0.10861000000000001,0.0,0.26429959875111425,0.919,0.010860999999999999,0.0,0.08970551643572426,1008,10000,12,10.0,1,2.8284271247461903,10000,0.005287064239382744,22.75406951503828,17.071153623983264,3.3399730920791626,0.01760676596313715,0.007101493887603283,228.07033549482003,2.312947474885732,0.0073256306,0.20234017,0.04672326,0.0011254083,0.03706091
9,14,7.133186461045463,1,4.857150901661907,0.12082213438735177,506,0.991,0.12082213438735177,0.0,0.27524269560944475,0.991,0.012244342078910474,0.0,0.09490509231700649,5094,49942,12,9.867588932806324,1,2.872841502315595,14,7.475,0,5.046322918720125,0.1598785046728972,107,0.964,0.1598785046728972,0.0,0.2996935727961714,0.964,0.017107,0.0,0.10978492406063775,1115,11000,12,9.345794392523365,1,3.1919958416408796,11000,0.005381834227591753,22.63940859073773,16.881058477796614,3.2181074991822243,0.01819651434198022,0.008267275057733059,250.7123127169907,2.508396990131587,0.002983961,0.25300077,0.05555345,-0.0045919092,0.038869705
