,codebook_dl,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost
code_book8.npy,5380,16.6,3.3,29.92,2977.92,157.68,28.77777777777778,5.313131313131313,47.19191919191919,2995.191919191919,281.1212121212121
code_book2.npy,5447,16.64,3.3,30.4,2973.4,156.5,28.737373737373737,5.454545454545454,48.96969696969697,2991.969696969697,283.75757575757575
code_book7.npy,5527,17.02,3.32,29.44,3068.44,160.5,29.181818181818183,5.424242424242424,48.64646464646464,3087.6464646464647,295.65656565656565
code_book10.npy,5543,16.6,3.28,29.76,3084.76,159.74,29.07070707070707,5.383838383838384,47.75757575757576,3102.757575757576,287.6666666666667
code_book1.npy,5568,16.28,3.3,30.08,3094.08,153.54,28.353535353535353,5.343434343434343,48.0,3112.0,281.1818181818182
code_book5.npy,5569,16.62,3.4,31.52,3120.52,161.62,28.949494949494948,5.474747474747475,49.21212121212121,3138.212121212121,295.64646464646466
code_book6.npy,5625,16.98,3.38,32.48,3137.48,158.72,28.525252525252526,5.313131313131313,49.45454545454545,3154.4545454545455,282.5050505050505
code_book3.npy,5678,17.0,3.3,30.56,3188.56,167.98,29.242424242424242,5.494949494949495,49.05050505050505,3207.050505050505,307.67676767676767
code_book9.npy,5771,16.78,3.22,30.56,3361.56,164.78,28.555555555555557,5.232323232323233,47.43434343434343,3378.4343434343436,295.8989898989899
code_book4.npy,5786,17.08,3.26,30.72,3352.72,160.1,29.19191919191919,5.383838383838384,48.888888888888886,3370.8888888888887,293.5050505050505
