Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,13,8.311498397435898,1,4.467444111504979,0.09224814814814813,270,0.982,0.09224814814814813,0.0,0.2618451081168384,0.982,0.004989383012820513,0.0,0.06437154029367004,270,4992,25,18.488888888888887,1,5.766270592264109,14,8.534,0,4.413937471238124,0.135,57,0.964,0.135,0.0,0.3148057044892093,0.964,0.007695,0.0,0.08141536694629584,109,2000,25,17.54385964912281,1,6.620198161656482,2000,0.006039692088961601,15.147979244124144,10.75100240809843,2.152087132912129,0.043889774940907955,0.10422838595695794,15074.605859741103,2.090731850126758,0.005258192,0.011989037,0.007244761,-0.003914412,0.002666731
1,14,8.948507313163695,4,1.4181584495376407,0.0805107296137339,233,0.991,0.0805107296137339,0.0,0.2567363857603503,0.991,0.0037585654177519534,0.0,0.05801369902842436,503,9983,25,21.4206008583691,1,6.186230423227836,14,9.212,0,2.159411030813726,0.06542553191489361,47,0.883,0.06542553191489361,0.0,0.19615969879979858,0.883,0.0030749999999999996,0.0,0.044723856888689725,156,3000,25,21.27659574468085,3,4.442072200259955,3000,0.006166314007714391,13.517449170351028,9.856393786147237,2.097631563199684,0.015340672107413411,0.008554589934647083,15088.127637644298,1.5333622449543327,0.00075983116,0.13830076,0.021321826,-0.001165533,0.024461405
2,14,6.186837367473495,2,2.79475596643756,0.061819672131147536,244,0.964,0.061819672131147536,0.0,0.22206098764969517,0.964,0.0030174034806961392,0.0,0.050835935672027974,747,14982,25,20.487704918032787,1,5.036328318261239,14,5.635,0,2.555342442804878,0.03795744680851064,47,0.91,0.03795744680851064,0.0,0.18008626271599154,0.91,0.001784,0.0,0.03985967064590474,203,4000,25,21.27659574468085,2,5.180577999706762,4000,0.005967827048152685,13.582228048238903,10.14961563795805,1.9647747350391,0.02576699503697455,0.011745546013116837,15101.712874570629,1.4243573071435094,0.003521558,0.104675405,0.021965813,0.0016431453,0.022770165
3,14,7.267054574638844,0,4.057757921580786,0.07871848739495799,238,0.964,0.07871848739495799,0.0,0.24117522256140653,0.964,0.0037590288924558585,0.0,0.05531130270933473,985,19966,25,20.941176470588236,1,5.682486906227445,14,7.006,0,4.206894816845318,0.06270212765957447,47,0.955,0.06270212765957447,0.0,0.21669479614500237,0.955,0.002947,0.0,0.0488165974951143,250,5000,25,21.27659574468085,1,5.047443539395577,5000,0.006105203879997134,13.507266099564731,9.791690683923662,2.089629482012242,0.015452765859663486,0.006840697024017572,15115.224742343416,1.5975472668651491,0.0028538606,0.16864374,0.017734464,-0.0013470612,0.015037697
4,14,8.710342068413683,1,3.0927056162231685,0.07680399999999998,250,0.973,0.07680399999999998,0.0,0.24868971346639973,0.973,0.003840968193638728,0.0,0.05807922135440018,1235,24965,25,19.996,1,5.574583751276861,14,8.868,0,3.1617362318827293,0.11388461538461539,52,0.964,0.11388461538461539,0.0,0.2719226172338623,0.964,0.005922,0.0,0.06696516942411183,302,6000,25,19.23076923076923,1,6.166333484255718,6000,0.006057222839444876,14.182203891919926,10.432987699052319,2.1607495569624007,0.014875181950628757,0.0068869320675730705,15129.41035949625,1.5606472990475595,0.0010384126,0.09380305,0.019697752,0.0017673578,0.013944317
5,14,8.198033707865168,1,3.4693550849003354,0.06325806451612905,248,0.991,0.06325806451612905,0.0,0.22110231068399602,0.991,0.0031476725521669344,0.0,0.051203018071115804,1483,29949,25,20.096774193548388,1,5.10521453032332,14,7.473,0,3.56191956675049,0.12738461538461537,52,0.991,0.12738461538461537,0.0,0.30233636094245925,0.991,0.006624,0.0,0.07451910241005322,354,7000,25,19.23076923076923,1,6.812362587507263,7000,0.011688485974445939,13.912633697036654,10.219731609104201,2.02431478491053,0.024387988029047847,0.011321752797812223,15143.325814621057,1.6211890762206167,0.0033047919,0.14248878,0.030527405,-0.0029220963,0.026220195
6,14,9.096211665664462,0,3.727536941430039,0.10947122302158273,278,0.991,0.10947122302158273,0.0,0.27656857599777934,0.991,0.006100020044097014,0.0,0.06994853230609996,1761,34938,25,17.946043165467625,1,5.641633089080306,14,8.918,0,4.076919915818803,0.119125,56,0.991,0.119125,0.0,0.28104982161912656,0.991,0.006671,0.0,0.07192749654339432,410,8000,23,17.857142857142858,1,5.613849492322445,8000,0.006030753022059798,14.695958826225251,10.848532150033861,2.1763857940677553,0.015728567959740758,0.007999007124453783,15158.02559604426,1.6412825540173799,0.00056913786,0.23530383,0.03750974,-0.032824695,0.036882266
7,14,5.662126977768876,0,5.428430403127359,0.06533050847457626,236,0.973,0.06533050847457626,0.0,0.2244349422583772,0.973,0.003087923092329261,0.0,0.050725208188795126,1997,39931,25,21.156779661016948,1,5.43107784685226,14,6.732,0,5.201170637462301,0.10379999999999999,50,0.991,0.10379999999999999,0.0,0.2820008510625456,0.991,0.00519,0.0,0.06699261078656363,460,9000,25,20.0,1,6.415605972938176,9000,0.006997419986873865,13.411874322919175,9.863969556055963,1.8636651609558612,0.024533047806471586,0.011397948954254389,15171.442157663405,1.641311189159751,0.00393589,0.22620957,0.04033593,0.0027235718,0.030682666
8,14,8.702783897456438,0,3.019296088359326,0.09694841269841269,252,0.973,0.09694841269841269,0.0,0.26163624580040146,0.973,0.00489305027037853,0.0,0.062492607836581594,2249,44924,25,19.813492063492063,1,5.805113416096755,14,8.717,0,3.3119346309974174,0.09029411764705883,51,0.946,0.09029411764705883,0.0,0.2532048147265214,0.946,0.004605,0.0,0.06053383330832436,511,10000,25,19.607843137254903,2,5.608391581572816,10000,0.006977025885134935,14.36248143389821,10.424266189103946,2.1261157831177115,0.01551834587007761,0.006947553949430585,15185.809691591188,1.7826565359719098,0.002257908,0.18547776,0.04372593,-0.04508773,0.031211076
9,14,8.62906463267764,0,3.2391780556728467,0.11659842519685039,254,0.991,0.11659842519685039,0.0,0.27375745802496715,0.991,0.005944600562023283,0.0,0.06692278921960725,2503,49906,25,19.614173228346456,1,6.144003214318087,14,8.84,0,3.650534207482516,0.14774074074074073,54,0.964,0.14774074074074073,0.0,0.2929938809363054,0.964,0.007977999999999999,0.0,0.0758332349039654,565,11000,25,18.51851851851852,1,6.315004884725072,11000,0.0060907460283488035,14.254157372983173,10.694064341951162,2.0818150648847222,0.015321535058319569,0.007157355081290007,15200.066857076949,1.4497083299793303,0.0040196264,0.29036367,0.04633926,-0.002554283,0.04161569
