,codebook_dl,num_symbols,train_num_primitive_actions,train_num_abstract_actions,train_code_length,train_description_length,train_node_cost,test_num_primitive_actions,test_num_abstract_actions,test_code_length,test_description_length,test_node_cost,2,3,4,5,6
code_book19.npy,1592,50,15.418,3.226,24.64,2043.64,133.954,28.595573440643864,5.7847082494969815,42.028169014084504,2061.0281690140846,254.87525150905432,0.006917308975026982,0.4619573374226324,0.016470968809095238,0.503436689128125,0.01121769566512039
code_book14.npy,1640,50,15.92,3.182,26.208,2058.208,129.02,29.08450704225352,5.579476861167002,44.15291750503018,2076.15291750503,247.57344064386317,0.02000991533672942,0.44039951861786314,0.4431416974113356,0.003081894848308807,0.09336697378576314
code_book10.npy,1680,50,15.214,3.214,24.848,2026.848,129.32,28.13682092555332,5.591549295774648,41.352112676056336,2043.3521126760563,238.21730382293762,0.2231081707609184,0.046655976768198694,0.5423215847875916,0.09958715213371956,0.08832711554957173
code_book34.npy,1712,50,15.774,3.112,24.0,2159.0,126.266,28.7102615694165,5.297786720321931,39.56539235412475,2174.565392354125,235.78269617706238,0.38344467675773386,0.00957675936729094,0.40468849611495145,0.002544408006526409,0.19974565975349726
code_book16.npy,1712,50,15.16,3.24,23.248,2007.248,135.508,28.285714285714285,5.804828973843058,40.01609657947686,2024.0160965794769,259.53923541247485,0.12062306709058364,0.38092885849118363,0.014036110455504716,0.45330716205204974,0.03110480191067829
code_book21.npy,1736,50,15.26,3.326,24.144,1981.144,135.136,27.961770623742456,5.871227364185111,40.32193158953722,1997.3219315895371,254.20925553319918,0.01560105826961988,0.38201793374453624,0.24246395691278597,0.3538058988237489,0.006111152249309079
code_book8.npy,1744,50,15.244,3.356,21.616,1945.616,139.3,28.154929577464788,6.012072434607646,35.29979879275654,1959.2997987927565,265.3782696177062,0.16614934388103747,0.1730884016992892,0.14167446722924792,0.5095805520276845,0.009507235162740848
code_book9.npy,1752,50,15.294,3.174,25.056,2016.056,133.502,28.096579476861166,5.515090543259557,42.49496981891348,2033.4949698189134,248.80684104627767,0.11786875124928198,0.3631004108055179,0.4689185500436301,0.006131370795069253,0.04398091710650078
code_book6.npy,1760,50,15.182,3.258,23.824,1993.824,135.376,28.2374245472837,5.810865191146881,40.40241448692153,2010.4024144869215,259.1146881287726,0.29215893992530473,0.03944883431457083,0.34218518734315034,0.3126095781058152,0.013597460311158991
code_book11.npy,1760,50,15.37,3.3,24.048,1964.048,134.452,28.43460764587525,5.921529175050302,40.80482897384306,1980.804828973843,256.8631790744467,0.43689634606309946,0.019574999998120443,0.2818389298694409,0.2574755178128147,0.0042142062565244205
code_book20.npy,1760,50,15.054,3.33,21.6,1962.6,139.056,27.76861167002012,6.012072434607646,35.8953722334004,1976.8953722334004,265.60764587525154,0.1898765602657416,0.13000283869909537,0.23446132906888556,0.44041318324559886,0.005246088720678642
code_book3.npy,1768,50,14.798,3.296,23.584,1964.584,136.136,27.62374245472837,5.877263581488934,40.04828973843058,1981.0482897384306,257.5432595573441,0.2977509294746912,0.052515009184131885,0.3081802889090476,0.3288731972775648,0.012680575154564677
code_book5.npy,1776,50,15.012,3.348,22.32,1929.32,133.59,27.885311871227366,6.018108651911469,36.65191146881288,1943.6519114688128,257.953722334004,0.1112142831299719,0.22482129372363174,0.2405303058925663,0.4202149396626837,0.003219177591146331
code_book24.npy,1776,50,14.876,3.282,23.04,1959.04,134.928,27.432595573440643,5.82092555331992,39.29175050301811,1975.2917505030182,255.53319919517102,0.08406110488616941,0.3287917392669853,0.19735581893664564,0.36080999171102407,0.028981345199175498
code_book1.npy,1776,50,15.178,3.344,24.528,1928.528,139.68,28.130784708249497,6.0040241448692155,42.285714285714285,1946.2857142857142,269.1146881287726,0.0634083544876675,0.36989308358293294,0.3046005744823287,0.2612213545301353,0.0008766329169356228
code_book15.npy,1776,50,15.222,3.256,23.888,1945.888,131.244,28.428571428571427,5.822937625754527,41.04627766599597,1963.046277665996,252.57545271629778,0.31924407683646694,0.041548707507702745,0.34077777845709556,0.2708890294590184,0.02754040773971655
code_book4.npy,1816,50,15.186,3.308,23.936,1941.936,136.522,27.907444668008047,5.855130784708249,40.17706237424547,1958.1770623742455,259.0201207243461,0.2109058008748923,0.2157799764067003,0.2551808205233049,0.31433251810224216,0.0038008840928603575
code_book22.npy,1816,50,15.566,3.11,23.776,2109.776,129.35,28.96579476861167,5.4124748490945676,40.17706237424547,2126.1770623742455,242.10663983903422,0.4248367565804856,0.37128307567782903,0.0020486109994122914,0.057684205153414235,0.14414735158885889
code_book38.npy,1824,50,15.438,3.156,26.24,2122.24,131.02,28.2897384305835,5.424547283702213,43.798792756539235,2139.798792756539,246.64587525150907,0.4644983704977547,0.3712162107089411,0.009794524898697976,0.0822216648779051,0.07226922901670114
code_book28.npy,1824,50,15.244,3.078,23.744,2143.744,130.614,28.285714285714285,5.370221327967807,40.096579476861166,2160.0965794768613,250.75855130784709,0.5718440585014082,0.19364205471923607,0.09323192369000582,8.011069872137522e-06,0.14127395201947773
code_book18.npy,1832,50,15.366,3.218,26.336,2034.336,129.158,28.885311871227366,5.6579476861167,46.116700201207244,2054.116700201207,244.57344064386317,0.306238642074579,0.3035579169169728,0.31488280373608063,0.013306314515745423,0.06201432275662205
code_book40.npy,1832,50,14.922,3.306,23.52,1972.52,138.95,27.740442655935613,5.871227364185111,40.160965794768615,1989.1609657947686,263.7585513078471,0.2185296863840668,0.32888809929498447,0.08297958391930384,0.3492001205673486,0.02040250983429633
code_book17.npy,1832,50,15.33,3.124,24.416,2100.416,129.044,28.35211267605634,5.509054325955734,41.80281690140845,2117.8028169014083,249.44064386317908,0.3303973758889292,0.36646446208834865,0.013684095768607494,0.22998299278568327,0.05947107346843135
code_book23.npy,1832,50,15.046,3.234,25.072,1962.072,134.402,28.106639839034205,5.78672032193159,43.04225352112676,1980.0422535211267,253.51106639839034,0.28395033458158625,0.11710006916320623,0.3607683464063745,0.22304897060945733,0.015132279239375783
code_book30.npy,1832,50,15.128,3.188,24.192,2032.192,131.788,28.41851106639839,5.653923541247485,42.10865191146881,2050.1086519114688,254.39839034205232,0.2881443759997273,0.32378705601815044,0.0528642853435412,0.31321278754652654,0.02199149509205453
code_book39.npy,1840,50,15.274,3.242,26.16,2016.16,135.78,28.207243460764587,5.684104627766599,45.29577464788732,2035.2957746478874,256.06639839034204,0.3565347181806222,0.13998511898642935,0.38138520353856264,0.06875471810849988,0.05334024118588591
code_book35.npy,1840,50,14.722,3.294,24.72,1979.72,133.474,27.537223340040242,5.8913480885311875,42.18913480885312,1997.1891348088532,256.0804828973843,0.4131765155882357,0.14902977085652375,0.14642853188760896,0.2844634390913235,0.006901742576308139
code_book13.npy,1840,50,15.018,3.364,23.856,1907.856,135.744,27.814889336016098,5.949698189134809,40.12877263581489,1924.1287726358148,256.32997987927564,0.1514635568082202,0.29530935619047505,0.24762011642797135,0.28332513406325577,0.022281836510077646
code_book33.npy,1848,50,15.06,3.286,25.04,1965.04,136.922,28.14486921529175,5.9114688128772634,43.010060362173036,1983.0100603621731,263.9979879275654,0.35811345329122607,0.20366673960700016,0.09730799574269389,0.32294557446952615,0.01796623688955368
code_book27.npy,1848,50,15.224,3.28,24.112,1921.112,131.846,27.90543259557344,5.722334004024145,40.40241448692153,1937.4024144869215,244.43460764587525,0.2119095463627547,0.23876267427291628,0.2783131448550204,0.2507663206976412,0.02024831381166736
code_book26.npy,1848,50,14.826,3.362,24.496,1924.496,141.4,27.462776659959758,6.00804828973843,42.04426559356137,1942.0442655935615,269.4426559356137,0.2890700142864017,0.42143334820920414,0.07700833471239296,0.21224061501700828,0.0002476877749928087
code_book37.npy,1856,50,15.148,3.298,26.064,1956.064,138.372,28.42655935613682,5.935613682092555,45.02213279678068,1975.0221327967806,266.67605633802816,0.2133146260574214,0.3309348838138422,0.25239956614814046,0.15940987155413808,0.04394105242645769
code_book2.npy,1864,50,14.912,3.276,23.44,1950.44,137.704,27.575452716297786,5.853118712273642,39.58148893360161,1966.5814889336016,264.046277665996,0.3640275062646937,0.21938557886520496,0.13397532556140085,0.27031132823068776,0.012300261078012693
code_book36.npy,1864,50,14.856,3.296,24.944,1984.944,134.854,28.004024144869216,5.917505030181086,42.7364185110664,2002.7364185110664,259.16096579476863,0.30896186976457773,0.18643542090027096,0.24676546345337053,0.24277174651311914,0.015065499368661663
code_book31.npy,1872,50,15.12,3.294,25.312,2005.312,137.132,27.732394366197184,5.722334004024145,42.945674044265594,2022.9456740442656,254.88128772635815,0.38101213907626424,0.3581799003542627,0.09061697091070574,0.14725898081521246,0.02293200884355491
code_book12.npy,1880,50,14.916,3.29,24.848,1964.848,135.166,27.93963782696177,5.925553319919517,42.89738430583501,1982.897384305835,260.3682092555332,0.3378576547488976,0.16897678862728888,0.20112184891048498,0.28166730345066654,0.010376404262662026
code_book29.npy,1880,50,15.266,3.242,26.896,2020.896,131.916,28.32595573440644,5.641851106639839,46.35814889336016,2040.35814889336,249.36016096579476,0.35764978110357504,0.3170093063214694,0.22221541317323187,0.07756331433105551,0.025562185070668132
