Epoch,evaluation/Actions Max,evaluation/Actions Mean,evaluation/Actions Min,evaluation/Actions Std,evaluation/Average Returns,evaluation/Num Paths,evaluation/Returns Max,evaluation/Returns Mean,evaluation/Returns Min,evaluation/Returns Std,evaluation/Rewards Max,evaluation/Rewards Mean,evaluation/Rewards Min,evaluation/Rewards Std,evaluation/num paths total,evaluation/num steps total,evaluation/path length Max,evaluation/path length Mean,evaluation/path length Min,evaluation/path length Std,exploration/Actions Max,exploration/Actions Mean,exploration/Actions Min,exploration/Actions Std,exploration/Average Returns,exploration/Num Paths,exploration/Returns Max,exploration/Returns Mean,exploration/Returns Min,exploration/Returns Std,exploration/Rewards Max,exploration/Rewards Mean,exploration/Rewards Min,exploration/Rewards Std,exploration/num paths total,exploration/num steps total,exploration/path length Max,exploration/path length Mean,exploration/path length Min,exploration/path length Std,replay_buffer/size,time/data storing (s),time/epoch (s),time/evaluation sampling (s),time/exploration sampling (s),time/logging (s),time/saving (s),time/total (s),time/training (s),trainer/QF Loss,trainer/Y Predictions Max,trainer/Y Predictions Mean,trainer/Y Predictions Min,trainer/Y Predictions Std
0,13,8.937074148296594,1,3.401527456097068,0.06140248962655603,241,0.973,0.06140248962655603,0.0,0.20784294220518326,0.973,0.0029655310621242484,0.0,0.04753573504724104,241,4990,34,20.70539419087137,1,9.387482392765863,14,9.159,0,3.2532628236894725,0.11883333333333333,54,0.919,0.11883333333333333,0.0,0.278871186910532,0.919,0.006417,0.0,0.0701491918057507,99,2000,34,18.51851851851852,3,8.912622635883169,2000,0.011661738157272339,22.364443593891338,16.476223506964743,3.1568963958416134,0.03357568685896695,0.05865712696686387,33574.836269035004,2.627429139101878,8.676089e-06,0.0119869,0.0072896034,-0.0020699445,0.0024564944
1,11,8.711592458884878,1,1.3751906082286847,0.11266298342541436,362,0.973,0.11266298342541436,0.0,0.2837805980970026,0.973,0.008179703168872845,0.0,0.08186262129773392,603,9976,34,13.773480662983426,1,4.643484538411413,14,8.382,0,2.3238063602632644,0.16008,75,0.946,0.16008,0.0,0.3006104349486225,0.946,0.012006,0.0,0.09249472397926276,174,3000,32,13.333333333333334,1,5.357445494097184,3000,0.011260292958468199,27.580640243832022,21.686881290050223,3.7065209669526666,0.049843705957755446,0.02297650696709752,33602.421126686735,2.1031574809458107,0.0010281531,0.11450388,0.02336979,-0.0064220773,0.026567426
2,14,5.828238133547868,1,4.545322743516599,0.07986194029850746,268,0.973,0.07986194029850746,0.0,0.24117526212056203,0.973,0.004304706355591311,0.0,0.058825846044799214,871,14948,34,18.55223880597015,1,8.839419144301472,14,7.077,0,4.254770381583476,0.11373015873015874,63,0.973,0.11373015873015874,0.0,0.27480857443412215,0.973,0.007165,0.0,0.07430534149709561,237,4000,34,15.873015873015873,1,6.949916211649922,4000,0.011662856210023165,23.096894286805764,16.660069791134447,4.160041448194534,0.038994984002783895,0.029276288114488125,33625.526614255505,2.196848919149488,0.006176694,0.072305955,0.016757015,-0.019376947,0.015500624
3,13,8.428485697139427,0,2.808845786132718,0.12784900284900286,351,0.982,0.12784900284900286,0.0,0.30096208030424193,0.982,0.008976795359071815,0.0,0.08617976126622022,1222,19947,34,14.242165242165242,1,5.662496191433083,14,8.414,0,2.8921625127229627,0.06874626865671642,67,0.874,0.06874626865671642,0.0,0.2053359346733217,0.874,0.004606,0.0,0.05586001041890342,304,5000,33,14.925373134328359,2,4.5064247099825065,5000,0.01334692700766027,26.95862177805975,21.354201052105054,3.4134066549595445,0.032901444006711245,0.013643821002915502,33652.49061203166,2.131121878977865,0.008107615,0.10765397,0.025375128,-0.006790794,0.02218248
4,14,7.8655967903711135,0,3.798007973082801,0.08513826366559486,311,0.982,0.08513826366559486,0.0,0.24109844458817487,0.982,0.005311534603811435,0.0,0.06364331900138925,1533,24932,34,16.028938906752412,1,5.9803374362633654,14,7.759,0,3.746320728394727,0.09664615384615384,65,0.973,0.09664615384615384,0.0,0.26600713875725684,0.973,0.006282,0.0,0.07188222642628704,369,6000,30,15.384615384615385,1,5.402826347790451,6000,0.007789904018864036,25.095295527251437,19.492938527138904,3.606860026018694,0.022071229992434382,0.012384311994537711,33677.59118787269,1.9532515280880034,0.005966885,0.1134159,0.030137278,-0.00071527716,0.020619577
5,14,1.3402847403248446,0,3.064952133597682,0.057978021978021974,182,0.991,0.057978021978021974,0.0,0.21530295435578492,0.991,0.002115901343493082,0.0,0.0425433006020053,1715,29919,34,27.4010989010989,1,9.694713575959264,14,2.529,0,4.111101920410147,0.0734047619047619,42,0.973,0.0734047619047619,0.0,0.2284203580623327,0.973,0.003083,0.0,0.04907329325610825,411,7000,34,23.80952380952381,1,9.472361035283994,7000,0.011617458891123533,16.04679972305894,11.604280855040997,2.444755489937961,0.023478872142732143,0.01287396508269012,33693.6417525725,1.9497930819634348,0.0064880885,0.17029247,0.03881493,0.00067555904,0.026769299
6,13,5.4070442265359215,0,4.412447872369827,0.1001509433962264,265,0.991,0.1001509433962264,0.0,0.2664519636148406,0.991,0.0053111867120272166,0.0,0.06533600153660027,1980,34916,34,18.856603773584904,1,8.312425557821578,14,5.698,0,4.462151498996868,0.10576923076923077,52,0.892,0.10576923076923077,0.0,0.246626205434663,0.892,0.0055,0.0,0.06094550024407053,463,8000,32,19.23076923076923,2,7.559037852427903,8000,0.011774671031162143,18.694646056974307,13.961978245992213,2.9081568389665335,0.018492238130420446,0.011375041911378503,33712.34080900764,1.7828690209425986,0.0012946632,0.107953474,0.03558327,0.0013026157,0.021083716
7,14,8.331595829991981,0,3.240294263803388,0.14069526627218934,338,0.982,0.14069526627218934,0.0,0.30602287308848575,0.982,0.009533881315156374,0.0,0.08715760051997591,2318,39904,34,14.757396449704142,1,6.204146949853139,14,7.821,0,3.5032783218008814,0.0925873015873016,63,0.973,0.0925873015873016,0.0,0.23741863334161023,0.973,0.0058330000000000005,0.0,0.06369613105205055,526,9000,31,15.873015873015873,1,5.501780558801702,9000,0.011656227055937052,24.9493192571681,18.835439189104363,3.8334516151808202,0.029948937939479947,0.012441656086593866,33737.294667917304,2.226381631800905,0.00027043757,0.17189753,0.039666235,-0.006244068,0.024889931
8,14,7.87007007007007,0,3.6682408707964202,0.10664465408805031,318,0.991,0.10664465408805031,0.0,0.2680485666938761,0.991,0.006789389389389389,0.0,0.07247201308234603,2636,44899,34,15.70754716981132,1,6.2615432740102746,14,7.814,0,3.9783670016729222,0.11070312499999999,64,0.919,0.11070312499999999,0.0,0.261696608671634,0.919,0.007084999999999999,0.0,0.07153447962346549,590,10000,31,15.625,2,5.707725028415437,10000,0.010964032961055636,26.84568572184071,20.38151614088565,4.243781175930053,0.02916741813533008,0.01944145397283137,33764.14573410619,2.1608154999557883,0.0036115518,0.17891298,0.048042167,0.0074390965,0.028302819
9,14,9.016439454691259,0,3.4187396899303515,0.1357471590909091,352,0.973,0.1357471590909091,0.0,0.29830187242825346,0.973,0.009579591018444267,0.0,0.08653426321045113,2988,49887,34,14.170454545454545,1,5.456900533247062,14,9.103,0,3.2116025594708946,0.13380281690140844,71,0.955,0.13380281690140844,0.0,0.28844227678050005,0.955,0.0095,0.0,0.08419027259725437,661,11000,27,14.084507042253522,1,4.961106415878288,11000,0.011235784040763974,29.627607390051708,23.356121964054182,4.296851316932589,0.038816557032987475,0.016840999014675617,33793.785495408345,1.9077407689765096,0.003846101,0.17258997,0.048107233,0.004059091,0.026295772
10,14,8.322839382394225,0,3.5420142529054424,0.13088988095238094,336,0.964,0.13088988095238094,0.0,0.2943896780062991,0.964,0.008818728694605975,0.0,0.08316009252471196,3324,54874,32,14.842261904761905,1,5.888507744345372,14,9.011,0,2.9773946664827626,0.1202112676056338,71,0.901,0.1202112676056338,0.0,0.2756884297455667,0.901,0.008535000000000001,0.0,0.07968342848422125,732,12000,22,14.084507042253522,2,4.592542880486293,12000,0.011748903896659613,26.445370108820498,20.438114314107224,3.9394342170562595,0.026537420926615596,0.012849245918914676,33820.24009051337,2.0166860069148242,0.009252371,0.20174581,0.060032934,0.0046069333,0.03263143
